Name,Dam_Code,Lat,Lon,Catchment,River.Type,Start_Date
Andong Dam,D_ANDO,36.584834,128.773934,ND,M,
Imha Dam,D_IMHA,36.537697,128.883311,BB,T,
Seongdeok Dam,D_SUDK,36.241249,128.963966,BB,T,
Yeongju Dam,D_YENJ,36.722126,128.656003,NS,T,04/07/2016
Gunwe Dam,D_GNWE,36.120653,128.7938,WE,T,10/05/2010
Gimcheon Boohang Dam,D_GMBH,35.980823,128.0038,GM,T,06/03/2013
Yeongcheon Dam,D_YEOC,36.063696,129.014133,KH,T,
Hapcheon Dam,D_HAPC,35.533875,128.03179,HG,T,
Namgang Dam,D_NAMG,35.162367,128.035461,NG,T,
Miryang Dam,D_MIRY,35.482995,128.933922,MR,T,
