"","Site","Survey","M_WT","M_pH","M_ORP","M_DO","M_TDS","M_Spec_Cond","M_Salinity","M_Resistivity","M_Conductivity","M_Barometer","Date"
"1","M1","1st",15.9333333333333,7.17333333333333,174.433333333333,3.17666666666667,112.466666666667,172.833333333333,0.08,6996.7,142.933333333333,0.9937,2018-10-15
"2","M1","2nd",15.3666666666667,7.72666666666667,182.633333333333,7.56333333333333,111.8,171.8,0.08,7128.63333333333,140.266666666667,0.996966666666667,2018-11-05
"3","M10","1st",18.1333333333333,8.15666666666667,174.533333333333,10.9833333333333,167.933333333333,258.3,0.12,4455.16666666667,224.466666666667,0.998666666666667,2018-10-17
"4","M10","2nd",15.275,9.075,240.975,12.8625,233.7,359.625,0.17,3414.225,292.875,1.007925,2018-11-07
"5","M12","1st",18.2333333333333,8.27333333333333,209.133333333333,11.54,148.633333333333,228.8,0.106666666666667,5025.7,199.233333333333,0.999333333333333,2018-10-17
"6","M12","2nd",13.8,8.71666666666667,261.566666666667,12.1633333333333,115.5,177.5,0.08,7163.4,139.6,1.0079,2018-11-07
"7","M13","1st",18.4666666666667,8.52666666666667,209.1,12.81,136.9,210.8,0.1,5421.73333333333,184.433333333333,1.00233333333333,2018-10-18
"8","M13","2nd",13.96,8.596,216.16,12.24,207.52,319.2,0.15,3969.6,251.9,1.00466,2018-11-13
"9","M14","1st",18.4,8.05333333333333,200.7,11.3633333333333,144.533333333333,222.533333333333,0.11,5143.03333333333,194.466666666667,1.00783333333333,2018-10-19
"10","M14","2nd",14.05,9.3575,232,14.6425,194.475,299.275,0.1425,4226.65,236.6,1.003,2018-11-13
"11","M15","1st",17.8333333333333,8.33333333333333,193.566666666667,11.16,113.1,174.033333333333,0.08,6655.23333333333,150.266666666667,1.008,2018-10-19
"12","M15","2nd",14.48,9.554,231.16,14.052,177.72,273.26,0.13,4582.06,218.26,1.00408,2018-11-13
"13","M2","1st",18.2,8.31,163.3,10.9233333333333,135.9,209.2,0.1,5500,181.933333333333,0.995266666666667,2018-10-15
"14","M2","2nd",14.8333333333333,8.61333333333333,296.166666666667,12.4966666666667,132.6,203.966666666667,0.1,6081.76666666667,164.433333333333,0.999166666666667,2018-11-05
"15","M3","1st",18.6,8.28,180.9,10.1933333333333,152.1,234.2,0.11,4865.6,205.533333333333,0.997733333333333,2018-10-15
"16","M3","2nd",14.1333333333333,8.43,210.7,11.61,147.133333333333,226.333333333333,0.11,5573.13333333333,179.433333333333,1.00153333333333,2018-11-05
"17","M4","1st",17.2666666666667,9.07,172.566666666667,13.27,136.033333333333,209.4,0.1,5606.06666666667,178.4,0.996866666666667,2018-10-16
"18","M4","2nd",15.0333333333333,9.07666666666667,190.066666666667,14.54,162.9,250.7,0.12,4929.53333333333,202.866666666667,1.005,2018-11-06
"19","M5","1st",17.0333333333333,8.38,179.3,11.5766666666667,128.5,197.7,0.09,5966.8,167.6,0.997266666666667,2018-10-16
"20","M5","2nd",14.025,8.4125,203.775,13.1575,171.3,263.275,0.13,4806.7,208.025,1.0055,2018-11-06
"21","M6","1st",17.2,8.36333333333333,236.3,10.2866666666667,112.633333333333,173.5,0.08,6774.36666666667,147.6,0.9971,2018-10-16
"22","M6","2nd",15.125,9.35,208.1,13.82,163.8,252.175,0.12,4889.825,204.525,1.00555,2018-11-06
"23","M8","1st",17.5,8.38666666666667,186.133333333333,12.1233333333333,123.7,190.566666666667,0.09,6122.73333333333,163.333333333333,0.998066666666667,2018-10-17
"24","M8","2nd",14.25,9.4375,248.75,13.34,192.575,296.275,0.145,4262,235.375,1.0093,2018-11-07
"25","M9","1st",18.9333333333333,8.01666666666667,197.633333333333,8.79333333333333,331.266666666667,509.666666666667,0.25,2219.86666666667,450.5,0.997833333333333,2018-10-17
"26","M9","2nd",15.1666666666667,9.96333333333333,239.633333333333,20.4333333333333,335.6,516.333333333333,0.25,2381.63333333333,419.866666666667,1.0081,2018-11-07
"27","T1","1st",17.5666666666667,8.29,128.1,11.2866666666667,130.9,201.4,0.1,5786.76666666667,172.8,0.9939,2018-10-15
"28","T1","2nd",12.7,8.33666666666667,174.8,12.2066666666667,121.133333333333,186.233333333333,0.09,7014.9,142.566666666667,0.997333333333333,2018-11-05
"29","T10a","1st",18.7333333333333,8.28666666666667,184.066666666667,10.1333333333333,54.6333333333333,84,0.0366666666666667,13599,73.9333333333333,1.002,2018-10-18
"30","T10a","2nd",14.98,8.388,210.16,11.086,109.62,168.54,0.08,7335.32,136.34,1.00274,2018-11-13
"31","T10b","1st",18.7,7.97333333333333,205.2,9.75666666666667,67,103.2,0.05,11011.5666666667,90.8,1.00843333333333,2018-10-19
"32","T10b","2nd",16.2,8.69,225.133333333333,12.5366666666667,131.1,201.533333333333,0.1,5962.13333333333,167.766666666667,1.00283333333333,2018-11-13
"33","T11a","1st",19.7666666666667,8.65666666666667,181.4,12.1833333333333,126.533333333333,194.666666666667,0.09,5708.2,175.2,1.00803333333333,2018-10-19
"34","T11a","2nd",14.7,8.91,234.64,12.036,141.1,216.58,0.1,5748.62,173.96,1.00358,2018-11-13
"35","T11b","1st",17.9333333333333,8.30666666666667,197.3,10.0066666666667,122.6,188.7,0.09,6129.16666666667,163.166666666667,1.00793333333333,2018-10-19
"36","T11b","2nd",14.4,8.38,238.4,9.905,160.35,246.625,0.12,5084.075,196.675,1.0041,2018-11-13
"37","T2","1st",18.6,8.25,202.366666666667,9.63333333333333,160.1,246.166666666667,0.12,4625.6,216.166666666667,0.9974,2018-10-15
"38","T2","2nd",14.3,8.62333333333333,205.133333333333,11.93,189.333333333333,291.466666666667,0.14,4315.36666666667,231.766666666667,1.0011,2018-11-05
"39","T3a","1st",15.2,8.25,192.866666666667,10.7266666666667,165.966666666667,255.333333333333,0.12,4822.73333333333,207.433333333333,0.995633333333333,2018-10-16
"40","T3a","2nd",11.0666666666667,8.40333333333333,210.4,11.78,195,299.733333333333,0.146666666666667,4550.63333333333,220.066666666667,1.0043,2018-11-06
"41","T3b","1st",16.4,8.43,198.933333333333,11.2933333333333,177.066666666667,272.166666666667,0.13,4395.83333333333,227.5,0.9971,2018-10-16
"42","T3b","2nd",13.2,8.49333333333333,234.383333333333,12.56,205.866666666667,316.85,0.15,4176.5,245.5,1.00565,2018-11-06
"43","T4","1st",16.6,8.05666666666667,184.6,10.7433333333333,165.966666666667,255.4,0.123333333333333,4671.7,214.333333333333,0.997033333333333,2018-10-16
"44","T4","2nd",13.8,8.925,196.9,15.355,196.475,302.375,0.145,4209.2,237.625,1.00525,2018-11-06
"45","T5a","1st",16.2333333333333,8.21666666666667,207.5,10.66,204.1,313.9,0.15,3825.46666666667,261.466666666667,0.996566666666667,2018-10-16
"46","T5a","2nd",13.7,8.3725,223.8,12.315,234.175,360.3,0.1725,3542.625,282.6,1.00485,2018-11-06
"47","T5b","1st",16.7,8.38333333333333,198.766666666667,11.77,192.166666666667,295.666666666667,0.14,4017.63333333333,248.866666666667,0.996566666666667,2018-10-16
"48","T5b","2nd",15.2,8.60666666666667,192.133333333333,12.5566666666667,220.766666666667,339.966666666667,0.16,3617.06666666667,276.466666666667,1.00486666666667,2018-11-06
"49","T6a","1st",16.9,8.08333333333333,215.666666666667,9.73333333333333,165.566666666667,254.466666666667,0.12,4646.43333333333,215.233333333333,0.9967,2018-10-17
"50","T6a","2nd",13.9,8.2175,274.15,9.8725,204.425,314.7,0.1525,4036.7,248.15,1.0077,2018-11-07
"51","T6b","1st",17.1333333333333,8.16,182.966666666667,9.75333333333333,168.566666666667,259.366666666667,0.12,4538.03333333333,220.366666666667,0.9981,2018-10-17
"52","T6b","2nd",13.7,8.43,276.733333333333,12.1966666666667,211.2,325.433333333333,0.16,3923,254.9,1.00913333333333,2018-11-07
"53","T7a","1st",18.7,8.368,197.48,12.216,395.06,605,0.296,1890.3,531.9,0.99828,2018-10-17
"54","T7a","2nd",15.7,8.68,248.25,12.1375,498.875,767.75,0.38,1583.525,631.5,1.0081,2018-11-07
"55","T7b","1st",18.2333333333333,8.36,203.133333333333,12.1133333333333,101.633333333333,156.633333333333,0.07,7330.76666666667,136.433333333333,0.998466666666667,2018-10-17
"56","T7b","2nd",15.0666666666667,8.91666666666667,247.933333333333,13.8233333333333,155.1,238.866666666667,0.11,5168.6,193.466666666667,1.00793333333333,2018-11-07
"57","T8a","1st",16.3,8.03333333333333,205.9,10.7766666666667,103.833333333333,159.9,0.0766666666666667,7500.36666666667,133.333333333333,1.0023,2018-10-18
"58","T8a","2nd",15.5,9.5725,254.675,15.9525,238.075,366.325,0.18,3338,299.6,1.00815,2018-11-07
"59","T9b","1st",18.2,8.495,198.175,10.66,115.9,178.35,0.08,6449.025,155.075,1.0017,2018-10-18
"60","T9b","2nd",13.3,8.405,248.5,11.055,96.725,148.375,0.07,8677.7,115.25,1.008575,2018-11-07
"61","A","ROD",6.2,7.82375,241.7875,12.92875,169.0875,259.8875,0.125,6002.775,166.7375,1.001825,2018-12-21
"62","B","ROD",6.25,8.0475,226.8875,15.79875,339.125,522,0.25,2986.4,334.875,1.0053625,2018-12-22
"63","C","ROD",5.5,8.47,204,16.962,261.04,401.66,0.194,3970.04,252.12,1.00616,2018-12-22
